款,項,目,節,科目編號,科目名稱,本年度預算數,上年度預算數,本年度與上年度比較,說明
4,20,6,  ,3505499800,第一預備金,527 ,527 ,-,仍照上年度預算數編列。
4,21,  ,  ,0005500000,臺灣臺中地方法院,"1,316,451 ","1,278,939 ","37,512 ",  
4,21,  ,999,3505500000,司法支出,"1,316,451 ","1,278,939 ","37,512 ",  
4,21,1,  ,3505500100,一般行政,"1,203,037 ","1,167,198 ","35,839 ","本年度預算數之內容與上年度之比較如下：
1.人員維持費1,132,991千元，較上年度增
列員工薪俸晉級差額及退休離職儲金等經
費32,121千元。
2.基本行政工作維持費30,163千元，較上年
度增列公務車輛養護等經費329千元。
3.辦理司法行政業務經費39,883千元，較上
年度增列辦公廳室養護等經費3,389千元
。"
4,21,2,  ,3505501000,審判業務,"99,714 ","102,310 ","-2,596 ","本年度預算數之內容與上年度之比較如下：
1.辦理民事事件業務經費40,128千元，較上
年度增列調解委員報酬等經費196千元。
2.辦理刑事案件業務經費16,760千元，較上
年度減列國內旅費等614千元。
3.辦理民事執行業務經費42,396千元，較上
年度減列辦理民事執行拍賣等經費2,078
千元。
4.辦理行政訴訟業務經費430千元，較上年
度減列國內旅費等100千元。"
4,21,3,  ,3505501200,少年事件處理,"6,837 ","6,523 ",314 ,"本年度預算數之內容與上年度之比較如下：
1.辦理少年事件審理業務經費582千元，較
上年度減列國內旅費等158千元。
2.辦理少年事件觀護及輔導業務經費6,255
千元，較上年度增列辦理少年安置、處分
或治療等經費472千元。"
4,21,4,  ,3505501400,公證及提存事件處理,556 ,797 ,-241 ,"本年度預算數556千元，係辦理公證及提存
業務經費，較上年度減列國內旅費等241千
元。"
4,21,5,  ,3505509000,一般建築及設備,"5,599 ","1,403 ","4,196 ",  
4,21,5,1,3505509011,交通及運輸設備,126 ,63 ,63 ,"本年度預算數之內容與上年度之比較如下：
1.汰換公務機車2輛經費126千元。
2.上年度汰換公務機車1輛預算業已編竣，
所列63千元如數減列。"
4,21,5,2,3505509019,其他設備,"5,473 ","1,340 ","4,133 ","本年度預算數之內容與上年度之比較如下：
1.購置臺中司法大廈辦公大樓變壓器及電抗
器等經費5,473千元。
2.上年度購置冷氣機及輕量型移動櫃等設備
預算業已編竣，所列1,340千元如數減列
。"
4,21,6,  ,3505509800,第一預備金,708 ,708 ,-,仍照上年度預算數編列。
4,22,  ,  ,0005510000,臺灣南投地方法院,"306,483 ","302,216 ","4,267 ",  
4,22,  ,999,3505510000,司法支出,"306,483 ","302,216 ","4,267 ",  
4,22,1,  ,3505510100,一般行政,"275,248 ","272,129 ","3,119 ","本年度預算數之內容與上年度之比較如下：
1.人員維持費255,118千元，較上年度減列(
含移撥)員額1人之人事費1,123千元，增
列員工薪俸晉級差額及退休離職儲金等經
費6,611千元，計淨增5,488千元。
2.基本行政工作維持費7,944千元，較上年
度增列公務車輛養護等經費160千元。
3.辦理司法行政業務經費12,186千元，較上
年度減列辦公廳室養護等經費2,529千元
。"
4,22,2,  ,3505511000,審判業務,"24,746 ","23,758 ",988 ,"本年度預算數之內容與上年度之比較如下：
1.辦理民事事件業務經費10,207千元，較上
年度增列辦理消費者債務清理等業務委外
經費354千元。
2.辦理刑事案件業務經費4,156千元，較上
年度減列購置審判設備等經費2千元。
3.辦理民事執行業務經費10,143千元，較上
年度增列辦理民事執行拍賣等經費636千
元。
4.辦理行政訴訟業務經費240千元，與上年
度同。"
4,22,3,  ,3505511200,少年事件處理,"4,162 ","4,162 ",-,"本年度預算數之內容與上年度之比較如下：
1.辦理少年事件審理業務經費295千元，與
上年度同。
2.辦理少年事件觀護及輔導業務經費3,867
千元，與上年度同。"
4,22,4,  ,3505511400,公證及提存事件處理,310 ,310 ,-,"本年度預算數310千元，係辦理公證及提存
業務經費，與上年度同。"
4,22,5,  ,3505519000,一般建築及設備,"1,504 ","1,344 ",160 ,  
4,22,5,1,3505519019,其他設備,"1,504 ","1,344 ",160 ,"本年度預算數之內容與上年度之比較如下：
1.購置影印機及冷氣機等經費1,504千元。
2.上年度購置影印機及冷氣機等設備預算業
已編竣，所列1,344千元如數減列。"
4,22,6,  ,3505519800,第一預備金,513 ,513 ,-,仍照上年度預算數編列。
4,23,  ,  ,0005520000,臺灣彰化地方法院,"1,033,144 ","1,361,722 ","-328,578 ",  
4,23,  ,999,3505520000,司法支出,"1,033,144 ","1,361,722 ","-328,578 ",  
4,23,1,  ,3505520100,一般行政,"528,157 ","509,241 ","18,916 ","本年度預算數之內容與上年度之比較如下：
1.人員維持費500,685千元，較上年度減列(
含移撥)員額1人之人事費1,123千元，增
列員工薪俸晉級差額及退休離職儲金等經
費19,586千元，計淨增18,463千元。
2.基本行政工作維持費12,612千元，較上年
度增列辦公廳室養護等經費247千元。
3.辦理司法行政業務經費14,860千元，較上
年度增列法官健康檢查費等206千元。"
4,23,2,  ,3505521000,審判業務,"46,683 ","45,070 ","1,613 ","本年度預算數之內容與上年度之比較如下：
1.辦理民事事件業務經費13,647千元，較上
年度增列辦理消費者債務清理等業務委外
經費334千元。
2.辦理刑事案件業務經費8,690千元，較上
年度減列購置審判設備等經費1千元。
3.辦理民事執行業務經費20,043千元，較上
年度增列辦理民事執行拍賣等經費1,280
千元。
4.辦理行政訴訟業務經費4,303千元，與上
年度同。"
4,23,3,  ,3505521200,少年事件處理,"5,549 ","4,104 ","1,445 ","本年度預算數之內容與上年度之比較如下：
1.辦理少年事件審理業務經費103千元，與
上年度同。
2.辦理少年事件觀護及輔導業務經費5,446
千元，較上年度增列辦理少年安置、處分
或治療等經費1,445千元。"
4,23,4,  ,3505521400,公證及提存事件處理,453 ,453 ,-,"本年度預算數453千元，係辦理公證及提存
業務經費，與上年度同。"
4,23,5,  ,3505528500,司法機關擴遷建計畫,"450,578 ","800,000 ","-349,422 ","臺灣彰化地方法院遷建辦公廳室及新建檔證
大樓工程計畫總經費2,200,911千元，分7年
辦理，99至103年度已編列1,439,627千元，
本年度續編第6年經費450,578千元，較上年
度減列349,422千元。"
4,23,6,  ,3505529000,一般建築及設備,"1,441 ","2,571 ","-1,130 ",  
4,23,6,1,3505529011,交通及運輸設備,761 ,126 ,635 ,"本年度預算數之內容與上年度之比較如下：
1.汰換首長專用車1輛及公務機車2輛經費76
1千元。
2.上年度汰換公務機車2輛預算業已編竣，
所列126千元如數減列。"
4,23,6,2,3505529019,其他設備,680 ,"2,445 ","-1,765 ","本年度預算數之內容與上年度之比較如下：
1.購置冷氣機等經費680千元。
2.上年度購置影印機等設備預算業已編竣，
所列2,445千元如數減列。"
4,23,7,  ,3505529800,第一預備金,283 ,283 ,-,仍照上年度預算數編列。
4,24,  ,  ,0005530000,臺灣雲林地方法院,"389,505 ","379,777 ","9,728 ",  
4,24,  ,999,3505530000,司法支出,"389,505 ","379,777 ","9,728 ",  
4,24,1,  ,3505530100,一般行政,"351,280 ","341,274 ","10,006 ","本年度預算數之內容與上年度之比較如下：
1.人員維持費328,968千元，較上年度增列
員工薪俸晉級差額及退休離職儲金等經費
10,757千元。
2.基本行政工作維持費9,628千元，較上年
度增列公務車輛養護等經費134千元。
3.辦理司法行政業務經費12,684千元，較上
年度減列辦公廳室養護等經費885千元 。"
4,24,2,  ,3505531000,審判業務,"30,834 ","31,019 ",-185 ,"本年度預算數之內容與上年度之比較如下：
1.辦理民事事件業務經費10,894千元，較上
年度增列辦理消費者債務清理等業務委外
經費71千元。
2.辦理刑事案件業務經費7,233千元，較上
年度減列辦理刑事案件鑑定等經費181千
元。
3.辦理民事執行業務經費11,807千元，較上
年度減列辦理公務送達郵資等經費75千元
。
4.辦理行政訴訟業務經費900千元，與上年
度同。"
4,24,3,  ,3505531200,少年事件處理,"5,420 ","5,420 ",-,"本年度預算數之內容與上年度之比較如下：
1.辦理少年事件審理業務經費38千元，與上
年度同。
2.辦理少年事件觀護及輔導業務經費5,382
千元，與上年度同。"
4,24,4,  ,3505531400,公證及提存事件處理,267 ,267 ,-,"本年度預算數267千元，係辦理公證及提存
業務經費，與上年度同。"
4,24,5,  ,3505539000,一般建築及設備,"1,441 ","1,534 ",-93 ,  
4,24,5,1,3505539019,其他設備,"1,441 ","1,534 ",-93 ,"本年度預算數之內容與上年度之比較如下：
1.購置影印機等經費1,441千元。
2.上年度購置冷氣機等設備預算業已編竣，
所列1,534千元如數減列。"
4,24,6,  ,3505539800,第一預備金,263 ,263 ,-,仍照上年度預算數編列。
4,25,  ,  ,0005540000,臺灣嘉義地方法院,"453,811 ","444,455 ","9,356 ",  
4,25,  ,999,3505540000,司法支出,"453,811 ","444,455 ","9,356 ",  
4,25,1,  ,3505540100,一般行政,"412,114 ","401,237 ","10,877 ","本年度預算數之內容與上年度之比較如下：
1.人員維持費381,124千元，較上年度增列(
含移撥)員額2人之人事費、員工薪俸晉級
差額及退休離職儲金等經費10,564千元。
2.基本行政工作維持費14,777千元，較上年
度增列公務車輛養護等經費256千元。
3.辦理司法行政業務經費16,213千元，較上
年度增列辦公廳室清潔維護等經費57千元
。"
4,25,2,  ,3505541000,審判業務,"36,339 ","37,390 ","-1,051 ","本年度預算數之內容與上年度之比較如下：
1.辦理民事事件業務經費13,271千元，較上
年度減列國內旅費等311千元。
2.辦理刑事案件業務經費11,254千元，較上
年度減列辦理刑事案件鑑定等經費431千
元。
3.辦理民事執行業務經費11,655千元，較上
年度減列國內旅費等310千元。
4.辦理行政訴訟業務經費159千元，較上年
度增列國內旅費等1千元。"
4,25,3,  ,3505541200,少年事件處理,"4,221 ","4,221 ",-,"本年度預算數之內容與上年度之比較如下：
1.辦理少年事件審理業務經費432千元，與
上年度同。
2.辦理少年事件觀護及輔導業務經費3,789
千元，與上年度同。"
4,25,4,  ,3505541400,公證及提存事件處理,383 ,383 ,-,"本年度預算數383千元，係辦理公證及提存
業務經費，與上年度同。"
4,25,5,  ,3505549000,一般建築及設備,496 ,966 ,-470 ,  
4,25,5,1,3505549019,其他設備,496 ,966 ,-470 ,"本年度預算數之內容與上年度之比較如下：
1.購置火警受信總機及飲水機等經費496千
元。
2.上年度購置影印機及金屬感應門等設備預
算業已編竣，所列966千元如數減列。"
4,25,6,  ,3505549800,第一預備金,258 ,258 ,-,仍照上年度預算數編列。
4,26,  ,  ,0005560000,臺灣臺南地方法院,"974,071 ","951,483 ","22,588 ",  
4,26,  ,999,3505560000,司法支出,"974,071 ","951,483 ","22,588 ",  
4,26,1,  ,3505560100,一般行政,"822,574 ","797,721 ","24,853 ","本年度預算數之內容與上年度之比較如下：
1.人員維持費758,038千元，較上年度增列
員工薪俸晉級差額及退休離職儲金等經費
25,552千元。
2.基本行政工作維持費27,578千元，較上年
度增列辦公廳室養護等經費111千元。
3.辦理司法行政業務經費36,958千元，較上
年度減列建物結構耐震評估及安全鑑定經
費等810千元。"
4,26,2,  ,3505561000,審判業務,"81,592 ","83,333 ","-1,741 ","本年度預算數之內容與上年度之比較如下：
1.辦理民事事件業務經費31,921千元，較上
年度增列辦理消費者債務清理等業務委外
經費55千元。
2.辦理刑事案件業務經費16,093千元，較上
年度減列國內旅費等586千元。
3.辦理民事執行業務經費33,465千元，較上
年度減列國內旅費等1,210千元。
4.辦理行政訴訟業務經費113千元，與上年
度同。"
4,26,3,  ,3505561200,少年事件處理,"8,386 ","8,386 ",-,"本年度預算數之內容與上年度之比較如下：
1.辦理少年事件審理業務經費373千元，與
上年度同。
2.辦理少年事件觀護及輔導業務經費8,013
千元，與上年度同。"
4,26,4,  ,3505561400,公證及提存事件處理,887 ,887 ,-,"本年度預算數887千元，係辦理公證及提存
業務經費，與上年度同。"
4,26,5,  ,3505569000,一般建築及設備,"60,176 ","60,700 ",-524 ,  
4,26,5,1,3505569002,營建工程,"54,703 ","55,670 ",-967 ,"第二級古蹟原臺灣臺南地方法院修復工程計
畫總經費137,672千元，分年辦理，98至103
年度已編列82,969千元，本年度續編最後1
年經費54,703千元，較上年度減列967千元
。"
4,26,5,2,3505569011,交通及運輸設備,"2,729 ","2,420 ",309 ,"本年度預算數之內容與上年度之比較如下：
1.汰換執行車2輛、勘驗車2輛及公務機車3
輛經費2,729千元。
2.上年度汰換執行車4輛預算業已編竣，所
列2,420千元如數減列。"
4,26,5,3,3505569019,其他設備,"2,744 ","2,610 ",134 ,"本年度預算數之內容與上年度之比較如下：
1.購置核心交換器及資訊機房水冷式空調等
經費2,744千元。
2.上年度購置無線電對講機及伸縮大門等設
備預算業已編竣，所列2,610千元如數減
列。"
4,26,6,  ,3505569800,第一預備金,456 ,456 ,-,仍照上年度預算數編列。
4,27,  ,  ,0005580000,臺灣高雄地方法院,"1,710,418 ","2,133,388 ","-422,970 ",  
4,27,  ,999,3505580000,司法支出,"1,710,418 ","2,133,388 ","-422,970 ",  
4,27,1,  ,3505580100,一般行政,"1,186,696 ","1,159,196 ","27,500 ","本年度預算數之內容與上年度之比較如下：
1.人員維持費1,098,053千元，較上年度減
列(含移撥)員額3人之人事費1,073千元，
增列員工薪俸晉級差額及退休離職儲金等
經費31,615千元，計淨增30,542千元。
2.基本行政工作維持費46,071千元，較上年
度減列公務車輛養護等經費306千元。
3.辦理司法行政業務經費42,572千元，較上
年度減列辦公廳室養護等經費2,736千元
。"
4,27,2,  ,3505581000,審判業務,"129,114 ","128,744 ",370 ,"本年度預算數之內容與上年度之比較如下：
1.辦理民事事件業務經費58,277千元，較上
年度減列國內旅費等532千元。
2.辦理刑事案件業務經費33,391千元，較上
年度減列國內旅費等744千元。
3.辦理民事執行業務經費36,984千元，較上
年度增列辦理民事執行拍賣等經費1,646
千元。
4.辦理行政訴訟業務經費462千元，與上年
度同。"
4,27,3,  ,3505581400,公證及提存事件處理,"1,094 ","1,094 ",-,"本年度預算數1,094千元，係辦理公證及提
存業務經費，與上年度同。"
4,27,4,  ,3505588500,司法機關擴遷建計畫,"377,642 ","838,000 ","-460,358 ","籌建臺灣橋頭地方法院辦公廳舍計畫總經費
2,332,718千元，分年辦理，92至103年度已
編列1,698,941千元，本年度續編最後1年經
費377,642千元，較上年度減列460,358千元
。"
4,27,5,  ,3505589000,一般建築及設備,"15,081 ","5,563 ","9,518 ",  
4,27,5,1,3505589011,交通及運輸設備,"10,735 ",-,"10,735 ","新增汰換警備車1輛、執行車7輛及勘驗車4
輛經費如列數。"
4,27,5,2,3505589019,其他設備,"4,346 ","5,563 ","-1,217 ","本年度預算數之內容與上年度之比較如下：
1.購置法庭用冷氣機及檔案大樓箱型冷氣機
等經費4,346千元。
2.上年度購置影印機等設備預算業已編竣，
所列5,563千元如數減列。"
4,27,6,  ,3505589800,第一預備金,791 ,791 ,-,仍照上年度預算數編列。
4,28,  ,  ,0005590000,臺灣屏東地方法院,"501,572 ","494,169 ","7,403 ",  
4,28,  ,999,3505590000,司法支出,"501,572 ","494,169 ","7,403 ",  
4,28,1,  ,3505590100,一般行政,"449,141 ","441,949 ","7,192 ","本年度預算數之內容與上年度之比較如下：
1.人員維持費422,186千元，較上年度減列(
含移撥)員額3人之人事費2,609千元，增
列員工薪俸晉級差額及退休離職儲金等經
費10,910千元，計淨增8,301千元。
2.基本行政工作維持費13,870千元，較上年
度增列公務車輛養護等經費379千元。
3.辦理司法行政業務經費13,085千元，較上
年度減列辦公廳室養護等經費1,488千元
。"
4,28,2,  ,3505591000,審判業務,"42,503 ","42,396 ",107 ,"本年度預算數之內容與上年度之比較如下：
1.辦理民事事件業務經費15,266千元，較上
年度增列辦理消費者債務清理等業務委外
經費112千元。
2.辦理刑事案件業務經費7,383千元，較上
年度減列購置審判設備等經費4千元。
3.辦理民事執行業務經費19,485千元，較上
年度減列辦理公務送達郵資等經費1千元
。
4.辦理行政訴訟業務經費369千元，與上年
度同。"
4,28,3,  ,3505591200,少年事件處理,"8,006 ","6,838 ","1,168 ","本年度預算數之內容與上年度之比較如下：
1.辦理少年事件審理業務經費1,139千元，
與上年度同。
2.辦理少年事件觀護及輔導業務經費6,867
千元，較上年度增列辦理少年安置、處分
或治療等經費1,168千元。"
4,28,4,  ,3505591400,公證及提存事件處理,323 ,323 ,-,"本年度預算數323千元，係辦理公證及提存
業務經費，與上年度同。"
4,28,5,  ,3505599000,一般建築及設備,"1,319 ","2,383 ","-1,064 ",  
4,28,5,1,3505599011,交通及運輸設備,-,668 ,-668 ,"上年度汰換勘驗車及公務機車各1輛預算業
已編竣，所列668千元如數減列。"
4,28,5,2,3505599019,其他設備,"1,319 ","1,715 ",-396 ,"本年度預算數之內容與上年度之比較如下：
1.購置影印機及冷氣機等經費1,319千元。
2.上年度購置影印機等設備預算業已編竣，
所列1,715千元如數減列。"
4,28,6,  ,3505599800,第一預備金,280 ,280 ,-,仍照上年度預算數編列。
4,29,  ,  ,0005600000,臺灣臺東地方法院,"220,737 ","217,814 ","2,923 ",  
4,29,  ,999,3505600000,司法支出,"220,737 ","217,814 ","2,923 ",  
4,29,1,  ,3505600100,一般行政,"202,098 ","199,799 ","2,299 ","本年度預算數之內容與上年度之比較如下：
1.人員維持費188,649千元，較上年度增列(
含移撥)員額1人之人事費、員工薪俸晉級
差額及退休離職儲金等經費5,260千元。
2.基本行政工作維持費6,111千元，較上年
度增列公務車輛養護等經費80千元。
3.辦理司法行政業務經費7,338千元，較上
年度減列建物結構耐震評估及安全鑑定等
經費3,041千元。"
4,29,2,  ,3505601000,審判業務,"12,748 ","12,704 ",44 ,"本年度預算數之內容與上年度之比較如下：
1.辦理民事事件業務經費3,808千元，較上
年度增列辦理消費者債務清理等業務委外
經費43千元。
2.辦理刑事案件業務經費4,133千元，較上
年度增列購置審判設備等經費1千元。
3.辦理民事執行業務經費4,590千元，與上
年度同。
4.辦理行政訴訟業務經費217千元，與上年
度同。"
4,29,3,  ,3505601200,少年事件處理,"3,940 ","3,940 ",-,"本年度預算數之內容與上年度之比較如下：
1.辦理少年事件審理業務經費68千元，與上
年度同。
2.辦理少年事件觀護及輔導業務經費3,872
千元，與上年度同。"
4,29,4,  ,3505601400,公證及提存事件處理,213 ,213 ,-,"本年度預算數213千元，係辦理公證及提存
業務經費，與上年度同。"
4,29,5,  ,3505609000,一般建築及設備,"1,605 ","1,025 ",580 ,  
4,29,5,1,3505609011,交通及運輸設備,745 ,-,745 ,"新增汰換執行車1輛與公務機車1輛及購置無
線電收發信機等經費如列數。"
4,29,5,2,3505609019,其他設備,860 ,"1,025 ",-165 ,"本年度預算數之內容與上年度之比較如下：
1.購置冷氣機及影印機等經費860千元。
2.上年度購置混音機及影印機等設備預算業
已編竣，所列1,025千元如數減列。"
4,29,6,  ,3505609800,第一預備金,133 ,133 ,-,仍照上年度預算數編列。
4,30,  ,  ,0005610000,臺灣花蓮地方法院,"279,354 ","278,794 ",560 ,  
4,30,  ,999,3505610000,司法支出,"279,354 ","278,794 ",560 ,  
4,30,1,  ,3505610100,一般行政,"251,396 ","249,291 ","2,105 ","本年度預算數之內容與上年度之比較如下：
1.人員維持費232,039千元，較上年度增列
員工薪俸晉級差額及退休離職儲金等經費
535千元。
2.基本行政工作維持費8,934千元，較上年
度增列公務車輛養護等經費117千元。
3.辦理司法行政業務經費10,423千元，較上
年度增列辦公廳室養護等經費1,453千元
。"
4,30,2,  ,3505611000,審判業務,"18,482 ","18,647 ",-165 ,"本年度預算數之內容與上年度之比較如下：
1.辦理民事事件業務經費6,292千元，較上
年度減列法院裁定移付鄉鎮市公所調解事
件等經費31千元。
2.辦理刑事案件業務經費5,654千元，較上
年度減列辦理刑事案件鑑定等經費134千
元。
3.辦理民事執行業務經費5,551千元，與上
年度同。
4.辦理行政訴訟業務經費985千元，與上年
度同。"
4,30,3,  ,3505611200,少年事件處理,"7,981 ","7,981 ",-,"本年度預算數之內容與上年度之比較如下：
1.辦理少年事件審理業務經費1,009千元，
與上年度同。
2.辦理少年事件觀護及輔導業務經費6,972
千元，與上年度同。"
4,30,4,  ,3505611400,公證及提存事件處理,155 ,155 ,-,"本年度預算數155千元，係辦理公證及提存
業務經費，與上年度同。"
4,30,5,  ,3505619000,一般建築及設備,"1,178 ","2,558 ","-1,380 ",  
4,30,5,1,3505619011,交通及運輸設備,63 ,"2,558 ","-2,495 ","本年度預算數之內容與上年度之比較如下：
1.汰換公務機車1輛經費63千元。
2.上年度汰換勘驗車與公務機車各1輛及購
置電子自動交換機等設備預算業已編竣，
所列2,558千元如數減列。"
4,30,5,2,3505619019,其他設備,"1,115 ",-,"1,115 ","新增購置法庭錄音設備及影印機等經費如列
數。    "
4,30,6,  ,3505619800,第一預備金,162 ,162 ,-,仍照上年度預算數編列。
4,31,  ,  ,0005620000,臺灣宜蘭地方法院,"274,050 ","267,817 ","6,233 ",  
4,31,  ,999,3505620000,司法支出,"274,050 ","267,817 ","6,233 ",  
4,31,1,  ,3505620100,一般行政,"249,897 ","239,789 ","10,108 ","本年度預算數之內容與上年度之比較如下：
1.人員維持費228,852千元，較上年度增列
員工薪俸晉級差額及退休離職儲金等經費
9,065千元。
2.基本行政工作維持費8,849千元，較上年
度增列公務車輛養護等經費38千元。
3.辦理司法行政業務經費12,196千元，較上
年度增列辦公廳室養護等經費1,005千元
。"
4,31,2,  ,3505621000,審判業務,"19,320 ","19,338 ",-18 ,"本年度預算數之內容與上年度之比較如下：
1.辦理民事事件業務經費7,433千元，較上
年度減列法院裁定移付鄉鎮市公所調解事
件等經費18千元。
2.辦理刑事案件業務經費4,847千元，與上
年度同。
3.辦理民事執行業務經費6,656千元，與上
年度同。
4.辦理行政訴訟業務經費384千元，與上年
度同。"
4,31,3,  ,3505621200,少年事件處理,"3,554 ","3,554 ",-,"本年度預算數之內容與上年度之比較如下：
1.辦理少年事件審理業務經費247千元，與
上年度同。
2.辦理少年事件觀護及輔導業務經費3,307
千元，與上年度同。"
4,31,4,  ,3505621400,公證及提存事件處理,100 ,100 ,-,"本年度預算數100千元，係辦理公證及提存
業務經費，與上年度同。"
4,31,5,  ,3505629000,一般建築及設備,"1,026 ","4,883 ","-3,857 ",  
4,31,5,1,3505629011,交通及運輸設備,-,"3,577 ","-3,577 ","上年度汰換公務機車4輛、首長專用車及警
備車各1輛預算業已編竣，所列3,577千元如
數減列。"
4,31,5,2,3505629019,其他設備,"1,026 ","1,306 ",-280 ,"本年度預算數之內容與上年度之比較如下：
1.購置電腦切換器及影印機等經費1,026千
元。
2.上年度購置邊際交換器及影印機等設備預
算業已編竣，所列1,306千元如數減列。"
4,31,6,  ,3505629800,第一預備金,153 ,153 ,-,仍照上年度預算數編列。
4,32,  ,  ,0005630000,臺灣基隆地方法院,"320,865 ","312,235 ","8,630 ",  
4,32,  ,999,3505630000,司法支出,"320,865 ","312,235 ","8,630 ",  
4,32,1,  ,3505630100,一般行政,"291,105 ","282,419 ","8,686 ","本年度預算數之內容與上年度之比較如下：
1.人員維持費266,564千元，較上年度減列(
含移撥)員額1人之人事費536千元，增列
員工薪俸晉級差額及退休離職儲金等經費
12,717千元，計淨增12,181千元。
2.基本行政工作維持費10,949千元，較上年
度增列公務車輛養護等經費110千元。
3.辦理司法行政業務經費13,592千元，較上
年度減列辦公廳室養護等經費3,605千元
。"
4,32,2,  ,3505631000,審判業務,"24,541 ","24,557 ",-16 ,"本年度預算數之內容與上年度之比較如下：
1.辦理民事事件業務經費9,391千元，較上
年度增列辦理消費者債務清理等業務委外
經費61千元。
2.辦理刑事案件業務經費7,710千元，較上
年度增列義務辯護律師酬金等經費23千元
。
3.辦理民事執行業務經費7,292千元，較上
年度減列國內旅費等100千元。
4.辦理行政訴訟業務經費148千元，與上年
度同。"
4,32,3,  ,3505631200,少年事件處理,"3,469 ","3,469 ",-,"本年度預算數之內容與上年度之比較如下：
1.辦理少年事件審理業務經費76千元，與上
年度同。
2.辦理少年事件觀護及輔導業務經費3,393
千元，與上年度同。"
4,32,4,  ,3505631400,公證及提存事件處理,176 ,176 ,-,"本年度預算數176千元，係辦理公證及提存
業務經費，與上年度同。"
4,32,5,  ,3505639000,一般建築及設備,"1,378 ","1,418 ",-40 ,  
4,32,5,1,3505639011,交通及運輸設備,-,63 ,-63 ,"上年度汰換公務機車1輛預算業已編竣，所
列63千元如數減列。"
4,32,5,2,3505639019,其他設備,"1,378 ","1,355 ",23 ,"本年度預算數之內容與上年度之比較如下：
1.購置影印機等經費1,378千元。
2.上年度購置影印機及冷氣機等設備預算業
已編竣，所列1,355千元如數減列。"
4,32,6,  ,3505639800,第一預備金,196 ,196 ,-,仍照上年度預算數編列。
4,33,  ,  ,0005640000,臺灣澎湖地方法院,"115,359 ","113,177 ","2,182 ",  
4,33,  ,999,3505640000,司法支出,"115,359 ","113,177 ","2,182 ",  
4,33,1,  ,3505640100,一般行政,"109,266 ","107,512 ","1,754 ","本年度預算數之內容與上年度之比較如下：
1.人員維持費95,489千元，較上年度減列(
含移撥)員額1人之人事費643千元，增列
員工薪俸晉級差額及退休離職儲金等經費
1,945千元，計淨增1,302千元。
2.基本行政工作維持費6,984千元，較上年
度增列公務車輛養護等經費59千元。
3.辦理司法行政業務經費6,793千元，較上
年度增列辦公大樓外牆石材檢測費等393
千元。"
4,33,2,  ,3505641000,審判業務,"4,603 ","4,610 ",-7 ,"本年度預算數之內容與上年度之比較如下：
1.辦理民事事件業務經費2,250千元，較上
年度增列辦理消費者債務清理等業務委外
經費9千元。
2.辦理刑事案件業務經費962千元，較上年
度減列國內旅費等16千元。
3.辦理民事執行業務經費1,321千元，與上
年度同。
4.辦理行政訴訟業務經費70千元，與上年度
同。"
4,33,3,  ,3505641200,少年事件處理,767 ,576 ,191 ,"本年度預算數之內容與上年度之比較如下：
1.辦理少年事件審理業務經費51千元，與上
年度同。
2.辦理少年事件觀護及輔導業務經費716千
元，較上年度增列辦理少年安置、處分或
治療等經費191千元。"
4,33,4,  ,3505641400,公證及提存事件處理,154 ,154 ,-,"本年度預算數154千元，係辦理公證及提存
業務經費，與上年度同。"
4,33,5,  ,3505649000,一般建築及設備,480 ,236 ,244 ,  
4,33,5,1,3505649019,其他設備,480 ,236 ,244 ,"本年度預算數之內容與上年度之比較如下：
1.購置影印機等經費480千元。  
2.上年度購置影印機等設備預算業已編竣，
所列236千元如數減列。  "
4,33,6,  ,3505649800,第一預備金,89 ,89 ,-,仍照上年度預算數編列。
4,34,  ,  ,0005800000,臺灣高雄少年及家事法院,"261,989 ","249,387 ","12,602 ",  
4,34,  ,999,3505800000,司法支出,"261,989 ","249,387 ","12,602 ",  
4,34,1,  ,3505800100,一般行政,"233,451 ","220,884 ","12,567 ","本年度預算數之內容與上年度之比較如下:
1.人員維持費211,197千元，較上年度增列(
含移撥)員額1人之人事費、員工薪俸晉級
差額及退休離職儲金等經費12,281千元。
2.基本行政工作維持費10,286千元，較上年
度增列替代役宿舍租金等經費291千元。
3.辦理司法行政業務經費11,968千元，較上
年度減列設施及機械設備養護等經費5千
元。"
4,34,2,  ,3505801000,審判業務,"8,374 ","8,384 ",-10 ,"本年度預算數8,374千元，係辦理民事事件
業務經費，較上年度減列法院裁定移付鄉鎮
市公所調解事件等經費10千元。"
4,34,3,  ,3505801200,少年事件處理,"18,135 ","18,135 ",-,"本年度預算數之內容與上年度之比較如下:
1.辦理少年事件審理業務經費4,743千元，
與上年度同。
2.辦理少年事件觀護及輔導業務經費13,392
千元，與上年度同。"
4,34,4,  ,3505809000,一般建築及設備,"1,063 ","1,018 ",45 ,  
4,34,4,1,3505809019,其他設備,"1,063 ","1,018 ",45 ,"本年度預算數之內容與上年度之比較如下：
1.購置飲水機及冷氣機等經費1,063千元。
2.上年度購置金屬感應門及高速可裝訂影印
機等設備預算業已編竣，所列1,018千元
如數減列。"
4,34,5,  ,3505809800,第一預備金,966 ,966 ,-,仍照上年度預算數編列。
4,35,  ,  ,0005900000,福建高等法院金門分院,"33,190 ","26,850 ","6,340 ",  
4,35,  ,999,3505900000,司法支出,"33,190 ","26,850 ","6,340 ",  
