,,,,,,,,,
科　　　　　　　　　　目,,,,,"本年度
預算數","上年度
預算數","前年度
決算數","本年度與
上年度比較",說　　　　　明
,,01,,"　　33031200100
　　一般行政","14,756","14,756","14,343",-,
,,,01,"　　　33031200101
　　　行政管理","14,756","14,756","14,343",-,"一、本科目包括行政管理
　"
,,,,,,,,,"二、本年度預算數包括:
　　人事費14,144千元
　　業務費570千元
　　獎補助費42千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　減列 業務費6千元
　　增列 獎補助費6千元
　"
,,02,,"　　33031200900
　　戶政業務","1,740","1,740","1,774",-,
,,,01,"　　　33031200901
　　　戶政業務","1,740","1,740","1,774",-,"一、本科目包括戶政業務
　"
,,,,,,,,,"二、本年度預算數包括:
　　人事費200千元
　　業務費1,540千元
　"
,,03,,"　　33031209000
　　一般建築及設備",730,100,100,630,
　,　,　,　,　,　,　,　,　,　
,,,01,"　　　33031209001
　　　一般建築及設
　　　備",730,100,100,630,"一、本科目包括一般建築及設備
　"
,,,,,,,,,"二、本年度預算數包括:
　　設備及投資730千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　增加 630千元
　　增列 設備及投資630千元
　"
,022,,,"　00031210000
　臺中市太平區戶政
　事務所","45,376","45,680","42,558",-304,
,,01,,"　　33031210100
　　一般行政","40,023","41,172","38,141","-1,149",
,,,01,"　　　33031210101
　　　行政管理","40,023","41,172","38,141","-1,149","一、本科目包括行政管理
　"
,,,,,,,,,"二、本年度預算數包括:
　　人事費39,110千元
　　業務費847千元
　　獎補助費66千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　減少 1,149千元
　　減列 人事費1,178千元
　　增列 業務費23千元
　　增列 獎補助費6千元
　"
,,02,,"　　33031210900
　　戶政業務","4,153","4,158","4,317",-5,
,,,01,"　　　33031210901
　　　戶政業務","4,153","4,158","4,317",-5,"一、本科目包括戶政業務
　"
,,,,,,,,,"二、本年度預算數包括:
　　人事費487千元
　　業務費3,666千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　減少 5千元
　　減列 業務費5千元
　"
,,03,,"　　33031219000
　　一般建築及設備","1,200",350,100,850,
,,,01,"　　　33031219001
　　　一般建築及設
　　　備","1,200",350,100,850,"一、本科目包括一般建築及設備
　"
,,,,,,,,,"二、本年度預算數包括:
　　設備及投資1,200千元
　"
　,　,　,　,　,　,　,　,　,　
　,　,　,　,　,　,　,　,　,　
　,　,　,　,　,　,　,　,　,　
,,,,,,,,,"三、本年度預算數與上年度比較：
　　增加 850千元
　　增列 設備及投資850千元
　"
,023,,,"　00031220000
　臺中市烏日區戶政
　事務所","18,901","19,062","17,927",-161,
,,01,,"　　33031220100
　　一般行政","16,798","16,976","15,683",-178,
,,,01,"　　　33031220101
　　　行政管理","16,798","16,976","15,683",-178,"一、本科目包括行政管理
　"
,,,,,,,,,"二、本年度預算數包括:
　　人事費16,198千元
　　業務費570千元
　　獎補助費30千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　減少 178千元
　　減列 人事費172千元
　　減列 獎補助費6千元
　"
,,02,,"　　33031220900
　　戶政業務","2,003","1,986","2,064",17,
,,,01,"　　　33031220901
　　　戶政業務","2,003","1,986","2,064",17,"一、本科目包括戶政業務
　"
,,,,,,,,,"二、本年度預算數包括:
　　人事費282千元
　　業務費1,721千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　增加 17千元
　　增列 業務費17千元
　"
,,03,,"　　33031229000
　　一般建築及設備",100,100,180,-,
,,,01,"　　　33031229001
　　　一般建築及設
　　　備",100,100,180,-,"一、本科目包括一般建築及設備
　"
,,,,,,,,,"二、本年度預算數包括:
　　設備及投資100千元
　"
,024,,,"　00031230000
　臺中市清水區戶政
　事務所","22,567","23,672","22,335","-1,105",
,,01,,"　　33031230100
　　一般行政","20,297","21,405","19,972","-1,108",
,,,01,"　　　33031230101
　　　行政管理","20,297","21,405","19,972","-1,108","一、本科目包括行政管理
　"
　,　,　,　,　,　,　,　,　,　
　,　,　,　,　,　,　,　,　,　
　,　,　,　,　,　,　,　,　,　
,,,,,,,,,"二、本年度預算數包括:
　　人事費19,996千元
　　業務費271千元
　　獎補助費30千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　減少 1,108千元
　　減列 人事費1,133千元
　　增列 業務費25千元
　"
,,02,,"　　33031230900
　　戶政業務","2,170","2,167","2,263",3,
,,,01,"　　　33031230901
　　　戶政業務","2,170","2,167","2,263",3,"一、本科目包括戶政業務
　"
,,,,,,,,,"二、本年度預算數包括:
　　人事費278千元
　　業務費1,892千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　增加 3千元
　　增列 業務費3千元
　"
,,03,,"　　33031239000
　　一般建築及設備",100,100,100,-,
,,,01,"　　　33031239001
　　　一般建築及設
　　　備",100,100,100,-,"一、本科目包括一般建築及設備
　"
,,,,,,,,,"二、本年度預算數包括:
　　設備及投資100千元
　"
,025,,,"　00031240000
　臺中市梧棲區戶政
　事務所","15,461","15,053","14,579",408,
,,01,,"　　33031240100
　　一般行政","13,875","13,492","12,975",383,
,,,01,"　　　33031240101
　　　行政管理","13,875","13,492","12,975",383,"一、本科目包括行政管理
　"
,,,,,,,,,"二、本年度預算數包括:
　　人事費13,311千元
　　業務費540千元
　　獎補助費24千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　增加 383千元
　　增列 業務費383千元
　"
,,02,,"　　33031240900
　　戶政業務","1,486","1,461","1,504",25,
,,,01,"　　　33031240901
　　　戶政業務","1,486","1,461","1,504",25,"一、本科目包括戶政業務
　"
　,　,　,　,　,　,　,　,　,　
,,,,,,,,,"二、本年度預算數包括:
　　人事費130千元
　　業務費1,356千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　增加 25千元
　　增列 業務費25千元
　"
,,03,,"　　33031249000
　　一般建築及設備",100,100,100,-,
,,,01,"　　　33031249001
　　　一般建築及設
　　　備",100,100,100,-,"一、本科目包括一般建築及設備
　"
,,,,,,,,,"二、本年度預算數包括:
　　設備及投資100千元
　"
,026,,,"　00031250000
　臺中市大甲區戶政
　事務所","19,255","19,393","18,490",-138,
,,01,,"　　33031250100
　　一般行政","16,915","17,082","16,280",-167,
,,,01,"　　　33031250101
　　　行政管理","16,915","17,082","16,280",-167,"一、本科目包括行政管理
　"
,,,,,,,,,"二、本年度預算數包括:
　　人事費16,658千元
　　業務費215千元
　　獎補助費42千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　減少 167千元
　　減列 人事費157千元
　　減列 業務費4千元
　　減列 獎補助費6千元
　"
,,02,,"　　33031250900
　　戶政業務","2,240","2,211","2,110",29,
,,,01,"　　　33031250901
　　　戶政業務","2,240","2,211","2,110",29,"一、本科目包括戶政業務
　"
,,,,,,,,,"二、本年度預算數包括:
　　人事費302千元
　　業務費1,938千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　增加 29千元
　　增列 業務費29千元
　"
,,03,,"　　33031259000
　　一般建築及設備",100,100,100,-,
,,,01,"　　　33031259001
　　　一般建築及設
　　　備",100,100,100,-,"一、本科目包括一般建築及設備
　"
,,,,,,,,,"二、本年度預算數包括:
　　設備及投資100千元
　"
,027,,,"　00031260000
　臺中市沙鹿區戶政
　事務所","19,600","20,693","18,794","-1,093",
,,01,,"　　33031260100
　　一般行政","17,253","18,375","16,433","-1,122",
,,,01,"　　　33031260101
　　　行政管理","17,253","18,375","16,433","-1,122","一、本科目包括行政管理
　"
,,,,,,,,,"二、本年度預算數包括:
　　人事費16,994千元
　　業務費205千元
　　獎補助費54千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　減少 1,122千元
　　減列 人事費1,122千元
　"
,,02,,"　　33031260900
　　戶政業務","2,152","2,119","2,181",33,
,,,01,"　　　33031260901
　　　戶政業務","2,152","2,119","2,181",33,"一、本科目包括戶政業務
　"
,,,,,,,,,"二、本年度預算數包括:
　　人事費249千元
　　業務費1,903千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　增加 33千元
　　增列 業務費33千元
　"
,,03,,"　　33031269000
　　一般建築及設備",195,199,180,-4,
,,,01,"　　　33031269001
　　　一般建築及設
　　　備",195,199,180,-4,"一、本科目包括一般建築及設備
　"
,,,,,,,,,"二、本年度預算數包括:
　　設備及投資195千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　減少 4千元
　　減列 設備及投資4千元
　"
,028,,,"　00031270000
　臺中市外埔區戶政
　事務所","8,335","8,689","7,932",-354,
,,01,,"　　33031270100
　　一般行政","7,191","7,652","6,836",-461,
,,,01,"　　　33031270101
　　　行政管理","7,191","7,652","6,836",-461,"一、本科目包括行政管理
　"
　,　,　,　,　,　,　,　,　,　
,,,,,,,,,"二、本年度預算數包括:
　　人事費6,648千元
　　業務費507千元
　　獎補助費36千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　減少 461千元
　　減列 人事費459千元
　　減列 業務費2千元
　"
,,02,,"　　33031270900
　　戶政業務",944,937,996,7,
,,,01,"　　　33031270901
　　　戶政業務",944,937,996,7,"一、本科目包括戶政業務
　"
,,,,,,,,,"二、本年度預算數包括:
　　人事費46千元
　　業務費898千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　增加 7千元
　　增列 業務費7千元
　"
,,03,,"　　33031279000
　　一般建築及設備",200,100,100,100,
,,,01,"　　　33031279001
　　　一般建築及設
　　　備",200,100,100,100,"一、本科目包括一般建築及設備
　"
,,,,,,,,,"二、本年度預算數包括:
　　設備及投資200千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　增加 100千元
　　增列 設備及投資100千元
　"
,029,,,"　00031280000
　臺中市大安區戶政
　事務所","6,917","6,912","6,767",5,
,,01,,"　　33031280100
　　一般行政","6,059","6,059","5,866",-,
,,,01,"　　　33031280101
　　　行政管理","6,059","6,059","5,866",-,"一、本科目包括行政管理
　"
,,,,,,,,,"二、本年度預算數包括:
　　人事費5,966千元
　　業務費93千元
　"
,,02,,"　　33031280900
　　戶政業務",758,753,801,5,
,,,01,"　　　33031280901
　　　戶政業務",758,753,801,5,"一、本科目包括戶政業務
　"
　,　,　,　,　,　,　,　,　,　
　,　,　,　,　,　,　,　,　,　
,,,,,,,,,"二、本年度預算數包括:
　　人事費44千元
　　業務費714千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　增加 5千元
　　增列 業務費5千元
　"
,,03,,"　　33031289000
　　一般建築及設備",100,100,100,-,
,,,01,"　　　33031289001
　　　一般建築及設
　　　備",100,100,100,-,"一、本科目包括一般建築及設備
　"
,,,,,,,,,"二、本年度預算數包括:
　　設備及投資100千元
　"
,030,,,"　00031290000
　臺中市龍井區戶政
　事務所","17,465","18,049","16,762",-584,
,,01,,"　　33031290100
　　一般行政","15,633","16,311","14,939",-678,
,,,01,"　　　33031290101
　　　行政管理","15,633","16,311","14,939",-678,"一、本科目包括行政管理
　"
,,,,,,,,,"二、本年度預算數包括:
　　人事費15,368千元
　　業務費217千元
　　獎補助費48千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　減少 678千元
　　減列 人事費667千元
　　減列 業務費5千元
　　減列 獎補助費6千元
　"
,,02,,"　　33031290900
　　戶政業務","1,644","1,638","1,724",6,
,,,01,"　　　33031290901
　　　戶政業務","1,644","1,638","1,724",6,"一、本科目包括戶政業務
　"
,,,,,,,,,"二、本年度預算數包括:
　　人事費200千元
　　業務費1,444千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　增加 6千元
　　增列 業務費6千元
　"
,,03,,"　　33031299000
　　一般建築及設備",188,100,99,88,
,,,01,"　　　33031299001
　　　一般建築及設
　　　備",188,100,99,88,"一、本科目包括一般建築及設備
　"
,,,,,,,,,"二、本年度預算數包括:
　　設備及投資188千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　增加 88千元
　　增列 設備及投資88千元
　"
,031,,,"　00031300000
　臺中市大肚區戶政
　事務所","13,985","14,084","13,212",-99,
,,01,,"　　33031300100
　　一般行政","12,028","12,417","11,473",-389,
,,,01,"　　　33031300101
　　　行政管理","12,028","12,417","11,473",-389,"一、本科目包括行政管理
　"
,,,,,,,,,"二、本年度預算數包括:
　　人事費11,829千元
　　業務費169千元
　　獎補助費30千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　減少 389千元
　　減列 人事費387千元
　　減列 業務費2千元
　"
,,02,,"　　33031300900
　　戶政業務","1,567","1,567","1,639",-,
,,,01,"　　　33031300901
　　　戶政業務","1,567","1,567","1,639",-,"一、本科目包括戶政業務
　"
,,,,,,,,,"二、本年度預算數包括:
　　人事費272千元
　　業務費1,295千元
　"
,,03,,"　　33031309000
　　一般建築及設備",390,100,100,290,
,,,01,"　　　33031309001
　　　一般建築及設
　　　備",390,100,100,290,"一、本科目包括一般建築及設備
　"
,,,,,,,,,"二、本年度預算數包括:
　　設備及投資390千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　增加 290千元
　　增列 設備及投資290千元
　"
,032,,,"　00031310000
　臺中市和平區戶政
　事務所","6,973","7,062","6,529",-89,
,,01,,"　　33031310100
　　一般行政","5,920","6,136","5,684",-216,
,,,01,"　　　33031310101
　　　行政管理","5,920","6,136","5,684",-216,"一、本科目包括行政管理
　"
,,,,,,,,,"二、本年度預算數包括:
　　人事費5,019千元
　　業務費865千元
　　獎補助費36千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　減少 216千元
　　減列 人事費214千元
　　減列 業務費2千元
　"
,,02,,"　　33031310900
　　戶政業務",763,763,745,-,
,,,01,"　　　33031310901
　　　戶政業務",763,763,745,-,"一、本科目包括戶政業務
　"
,,,,,,,,,"二、本年度預算數包括:
　　人事費5千元
　　業務費758千元
　"
,,03,,"　　33031319000
　　一般建築及設備",290,163,100,127,
,,,01,"　　　33031319001
　　　一般建築及設
　　　備",290,163,100,127,"一、本科目包括一般建築及設備
　"
,,,,,,,,,"二、本年度預算數包括:
　　設備及投資290千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　增加 127千元
　　增列 設備及投資127千元
　"
