,,,,,,,,,
科　　　　　　　　　　目,,,,,"本年度
預算數","上年度
預算數","前年度
決算數","本年度與
上年度比較",說　　　　　明
,,,,,,,,,"三、本年度預算數與上年度比較：
　　減少 3,000千元
　　減列 設備及投資3,000千元
　"
,,05,,"　　68020510200
　　社政業務","7,018","5,945","6,089","1,073",
,,,01,"　　　68020510201
　　　社會福利","7,018","5,945","6,089","1,073","一、本科目包括社會福利
　"
,,,,,,,,,"二、本年度預算數包括:
　　人事費8千元
　　業務費672千元
　　獎補助費6,338千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　增加 1,073千元
　　增列 業務費301千元
　　增列 獎補助費772千元
　"
,012,,,"　00020520000
　臺中市東區區公所","117,186","111,760","116,707","5,426",
,,01,,"　　33020520100
　　一般行政","47,635","47,643","43,933",-8,
,,,01,"　　　33020520101
　　　行政管理","47,635","47,643","43,933",-8,"一、本科目包括行政管理
　"
,,,,,,,,,"二、本年度預算數包括:
　　人事費42,894千元
　　業務費4,561千元
　　獎補助費180千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　減少 8千元
　　減列 業務費8千元
　"
,,02,,"　　33020520500
　　區公所業務","42,397","40,676","35,399","1,721",
,,,01,"　　　33020520501
　　　民政業務","41,155","39,446","34,391","1,709","一、本科目包括民政業務
　"
,,,,,,,,,"二、本年度預算數包括:
　　人事費83千元
　　業務費30,968千元
　　獎補助費10,104千元
　"
　,　,　,　,　,　,　,　,　,　
,,,,,,,,,"三、本年度預算數與上年度比較：
　　增加 1,709千元
　　增列 業務費1,709千元
　"
,,,02,"　　　33020520502
　　　經建業務",868,862,734,6,"一、本科目包括經建業務
　"
,,,,,,,,,"二、本年度預算數包括:
　　人事費10千元
　　業務費858千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　增加 6千元
　　增列 業務費6千元
　"
,,,03,"　　　33020520503
　　　人文業務",374,368,274,6,"一、本科目包括人文業務
　"
,,,,,,,,,"二、本年度預算數包括:
　　業務費294千元
　　獎補助費80千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　增加 6千元
　　增列 業務費6千元
　"
,,03,,"　　33020527900
　　第一預備金",300,300,-,-,
,,,01,"　　　33020527901
　　　第一預備金",300,300,-,-,"一、本科目包括第一預備金
　"
,,,,,,,,,"二、本年度預算數包括:
　　預備金300千元
　"
,,04,,"　　33020529000
　　一般建築及設備","4,746","2,480","17,860","2,266",
,,,01,"　　　33020529001
　　　一般建築及設
　　　備","4,746","2,480","17,860","2,266","一、本科目包括一般建築及設備
　"
,,,,,,,,,"二、本年度預算數包括:
　　設備及投資4,746千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　增加 2,266千元
　　增列 設備及投資2,266千元
　"
,,05,,"　　68020520200
　　社政業務","22,108","20,661","19,515","1,447",
,,,01,"　　　68020520201
　　　社會福利","22,108","20,661","19,515","1,447","一、本科目包括社會福利
　"
　,　,　,　,　,　,　,　,　,　
　,　,　,　,　,　,　,　,　,　
　,　,　,　,　,　,　,　,　,　
　,　,　,　,　,　,　,　,　,　
,,,,,,,,,"二、本年度預算數包括:
　　人事費19千元
　　業務費1,123千元
　　獎補助費20,966千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　增加 1,447千元
　　增列 業務費457千元
　　增列 獎補助費990千元
　"
,013,,,"　00020530000
　臺中市西區區公所","157,391","153,792","145,887","3,599",
,,01,,"　　33020530100
　　一般行政","58,067","59,485","52,425","-1,418",
,,,01,"　　　33020530101
　　　行政管理","58,067","59,485","52,425","-1,418","一、本科目包括行政管理
　"
,,,,,,,,,"二、本年度預算數包括:
　　人事費53,463千元
　　業務費4,424千元
　　獎補助費180千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　減少 1,418千元
　　減列 人事費1,403千元
　　減列 業務費15千元
　"
,,02,,"　　33020530500
　　區公所業務","59,773","57,105","49,517","2,668",
,,,01,"　　　33020530501
　　　民政業務","58,132","55,464","48,083","2,668","一、本科目包括民政業務
　"
,,,,,,,,,"二、本年度預算數包括:
　　人事費145千元
　　業務費42,915千元
　　獎補助費15,072千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　增加 2,668千元
　　增列 業務費2,668千元
　"
,,,02,"　　　33020530502
　　　經建業務","1,135","1,135","1,013",-,"一、本科目包括經建業務
　"
,,,,,,,,,"二、本年度預算數包括:
　　人事費20千元
　　業務費1,115千元
　"
,,,03,"　　　33020530503
　　　人文業務",506,506,421,-,"一、本科目包括人文業務
　"
　,　,　,　,　,　,　,　,　,　
　,　,　,　,　,　,　,　,　,　
　,　,　,　,　,　,　,　,　,　
　,　,　,　,　,　,　,　,　,　
,,,,,,,,,"二、本年度預算數包括:
　　人事費23千元
　　業務費403千元
　　獎補助費80千元
　"
,,03,,"　　33020537900
　　第一預備金",400,400,-,-,
,,,01,"　　　33020537901
　　　第一預備金",400,400,-,-,"一、本科目包括第一預備金
　"
,,,,,,,,,"二、本年度預算數包括:
　　預備金400千元
　"
,,04,,"　　33020539000
　　一般建築及設備","4,321","4,785","15,239",-464,
,,,01,"　　　33020539001
　　　一般建築及設
　　　備","4,321","4,785","15,239",-464,"一、本科目包括一般建築及設備
　"
,,,,,,,,,"二、本年度預算數包括:
　　設備及投資4,321千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　減少 464千元
　　減列 設備及投資464千元
　"
,,05,,"　　68020530200
　　社政業務","34,830","32,017","28,706","2,813",
,,,01,"　　　68020530201
　　　社會福利","34,830","32,017","28,706","2,813","一、本科目包括社會福利
　"
,,,,,,,,,"二、本年度預算數包括:
　　人事費45千元
　　業務費1,590千元
　　獎補助費33,195千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　增加 2,813千元
　　增列 業務費449千元
　　增列 獎補助費2,364千元
　"
,014,,,"　00020540000
　臺中市南區區公所","160,890","163,901","137,393","-3,011",
,,01,,"　　33020540100
　　一般行政","58,840","61,735","53,417","-2,895",
,,,01,"　　　33020540101
　　　行政管理","58,840","61,735","53,417","-2,895","一、本科目包括行政管理
　"
,,,,,,,,,"二、本年度預算數包括:
　　人事費53,960千元
　　業務費4,712千元
　　獎補助費168千元
　"
　,　,　,　,　,　,　,　,　,　
　,　,　,　,　,　,　,　,　,　
,,,,,,,,,"三、本年度預算數與上年度比較：
　　減少 2,895千元
　　減列 人事費2,937千元
　　增列 業務費42千元
　"
,,02,,"　　33020540500
　　區公所業務","64,669","62,401","54,172","2,268",
,,,01,"　　　33020540501
　　　民政業務","57,369","55,285","47,665","2,084","一、本科目包括民政業務
　"
,,,,,,,,,"二、本年度預算數包括:
　　人事費126千元
　　業務費41,983千元
　　獎補助費15,260千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　增加 2,084千元
　　增列 業務費2,054千元
　　增列 獎補助費30千元
　"
,,,02,"　　　33020540502
　　　經建業務","6,769","6,615","6,064",154,"一、本科目包括經建業務
　"
,,,,,,,,,"二、本年度預算數包括:
　　人事費16千元
　　業務費5,419千元
　　獎補助費1,334千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　增加 154千元
　　增列 業務費170千元
　　減列 獎補助費16千元
　"
,,,03,"　　　33020540503
　　　人文業務",531,501,443,30,"一、本科目包括人文業務
　"
,,,,,,,,,"二、本年度預算數包括:
　　人事費36千元
　　業務費415千元
　　獎補助費80千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　增加 30千元
　　增列 業務費30千元
　"
,,03,,"　　33020547900
　　第一預備金",300,300,-,-,
,,,01,"　　　33020547901
　　　第一預備金",300,300,-,-,"一、本科目包括第一預備金
　"
,,,,,,,,,"二、本年度預算數包括:
　　預備金300千元
　"
,,04,,"　　33020549000
　　一般建築及設備","4,396","13,523","6,631","-9,127",
,,,01,"　　　33020549001
　　　一般建築及設
　　　備","4,396","13,523","6,631","-9,127","一、本科目包括一般建築及設備
　"
,,,,,,,,,"二、本年度預算數包括:
　　設備及投資4,396千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　減少 9,127千元
　　減列 設備及投資9,127千元
　"
,,05,,"　　68020540200
　　社政業務","32,685","25,942","23,173","6,743",
,,,01,"　　　68020540201
　　　社會福利","32,685","25,942","23,173","6,743","一、本科目包括社會福利
　"
,,,,,,,,,"二、本年度預算數包括:
　　人事費16千元
　　業務費1,399千元
　　獎補助費31,270千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　增加 6,743千元
　　增列 業務費404千元
　　增列 獎補助費6,339千元
　"
,015,,,"　00020550000
　臺中市北區區公所","203,996","198,537","167,191","5,459",
,,01,,"　　33020550100
　　一般行政","69,398","73,279","60,635","-3,881",
,,,01,"　　　33020550101
　　　行政管理","69,398","73,279","60,635","-3,881","一、本科目包括行政管理
　"
,,,,,,,,,"二、本年度預算數包括:
　　人事費56,954千元
　　業務費12,156千元
　　獎補助費288千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　減少 3,881千元
　　減列 人事費5,960千元
　　增列 業務費2,025千元
　　增列 獎補助費54千元
　"
,,02,,"　　33020550500
　　區公所業務","75,728","77,809","64,064","-2,081",
,,,01,"　　　33020550501
　　　民政業務","74,130","75,211","63,135","-1,081","一、本科目包括民政業務
　"
,,,,,,,,,"二、本年度預算數包括:
　　人事費136千元
　　業務費53,330千元
　　獎補助費20,664千元
　"
　,　,　,　,　,　,　,　,　,　
,,,,,,,,,"三、本年度預算數與上年度比較：
　　減少 1,081千元
　　減列 業務費1,081千元
　"
,,,02,"　　　33020550502
　　　經建業務",751,751,621,-,"一、本科目包括經建業務
　"
,,,,,,,,,"二、本年度預算數包括:
　　人事費21千元
　　業務費730千元
　"
,,,03,"　　　33020550503
　　　人文業務",847,"1,847",308,"-1,000","一、本科目包括人文業務
　"
,,,,,,,,,"二、本年度預算數包括:
　　人事費40千元
　　業務費727千元
　　獎補助費80千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　減少 1,000千元
　　減列 業務費1,000千元
　"
,,03,,"　　33020557900
　　第一預備金",400,400,-,-,
,,,01,"　　　33020557901
　　　第一預備金",400,400,-,-,"一、本科目包括第一預備金
　"
,,,,,,,,,"二、本年度預算數包括:
　　預備金400千元
　"
,,04,,"　　33020559000
　　一般建築及設備","13,449","8,405","6,750","5,044",
,,,01,"　　　33020559001
　　　一般建築及設
　　　備","13,449","8,405","6,750","5,044","一、本科目包括一般建築及設備
　"
,,,,,,,,,"二、本年度預算數包括:
　　設備及投資13,449千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　增加 5,044千元
　　增列 設備及投資5,044千元
　"
,,05,,"　　68020550200
　　社政業務","45,021","38,644","35,742","6,377",
,,,01,"　　　68020550201
　　　社會福利","45,021","38,644","35,742","6,377","一、本科目包括社會福利
　"
,,,,,,,,,"二、本年度預算數包括:
　　人事費29千元
　　業務費1,732千元
　　獎補助費43,260千元
　"
　,　,　,　,　,　,　,　,　,　
　,　,　,　,　,　,　,　,　,　
,,,,,,,,,"三、本年度預算數與上年度比較：
　　增加 6,377千元
　　增列 業務費449千元
　　增列 獎補助費5,928千元
　"
,016,,,"　00020560000
　臺中市西屯區公所","236,582","229,095","208,831","7,487",
,,01,,"　　33020560100
　　一般行政","82,268","79,066","67,244","3,202",
,,,01,"　　　33020560101
　　　行政管理","82,268","79,066","67,244","3,202","一、本科目包括行政管理
　"
,,,,,,,,,"二、本年度預算數包括:
　　人事費65,593千元
　　業務費16,519千元
　　獎補助費156千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　增加 3,202千元
　　減列 人事費5,087千元
　　增列 業務費8,277千元
　　增列 獎補助費12千元
　"
,,02,,"　　33020560500
　　區公所業務","95,842","97,860","88,341","-2,018",
,,,01,"　　　33020560501
　　　民政業務","92,558","94,660","82,130","-2,102","一、本科目包括民政業務
　"
,,,,,,,,,"二、本年度預算數包括:
　　人事費174千元
　　業務費67,424千元
　　獎補助費24,960千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　減少 2,102千元
　　減列 業務費2,102千元
　"
,,,02,"　　　33020560502
　　　經建業務","2,311","2,131","5,531",180,"一、本科目包括經建業務
　"
,,,,,,,,,"二、本年度預算數包括:
　　人事費35千元
　　業務費2,276千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　增加 180千元
　　增列 業務費180千元
　"
,,,03,"　　　33020560503
　　　人文業務",973,"1,069",680,-96,"一、本科目包括人文業務
　"
　,　,　,　,　,　,　,　,　,　
　,　,　,　,　,　,　,　,　,　
　,　,　,　,　,　,　,　,　,　
　,　,　,　,　,　,　,　,　,　
,,,,,,,,,"二、本年度預算數包括:
　　人事費30千元
　　業務費863千元
　　獎補助費80千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　減少 96千元
　　減列 業務費96千元
　"
,,03,,"　　33020567900
　　第一預備金",500,500,-,-,
,,,01,"　　　33020567901
　　　第一預備金",500,500,-,-,"一、本科目包括第一預備金
　"
,,,,,,,,,"二、本年度預算數包括:
　　預備金500千元
　"
,,04,,"　　33020569000
　　一般建築及設備","14,435","11,986","16,039","2,449",
,,,01,"　　　33020569001
　　　一般建築及設
　　　備","14,435","11,986","16,039","2,449","一、本科目包括一般建築及設備
　"
,,,,,,,,,"二、本年度預算數包括:
　　設備及投資14,435千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　增加 2,449千元
　　增列 設備及投資2,449千元
　"
,,05,,"　　68020560200
　　社政業務","43,537","39,683","37,207","3,854",
,,,01,"　　　68020560201
　　　社會福利","43,537","39,683","37,207","3,854","一、本科目包括社會福利
　"
,,,,,,,,,"二、本年度預算數包括:
　　人事費20千元
　　業務費2,358千元
　　獎補助費41,159千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　增加 3,854千元
　　增列 業務費789千元
　　增列 獎補助費3,065千元
　"
,017,,,"　00020570000
　臺中市南屯區公所","252,749","245,846","218,732","6,903",
,,01,,"　　33020570100
　　一般行政","71,187","68,806","57,833","2,381",
,,,01,"　　　33020570101
　　　行政管理","71,187","68,806","57,833","2,381","一、本科目包括行政管理
　"
　,　,　,　,　,　,　,　,　,　
　,　,　,　,　,　,　,　,　,　
　,　,　,　,　,　,　,　,　,　
,,,,,,,,,"二、本年度預算數包括:
　　人事費57,413千元
　　業務費13,600千元
　　獎補助費174千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　增加 2,381千元
　　減列 人事費3,646千元
　　增列 業務費6,027千元
　"
,,02,,"　　33020570500
　　區公所業務","122,424","120,892","107,303","1,532",
,,,01,"　　　33020570501
　　　民政業務","119,944","119,412","105,917",532,"一、本科目包括民政業務
　"
,,,,,,,,,"二、本年度預算數包括:
　　人事費203千元
　　業務費91,709千元
　　獎補助費28,032千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　增加 532千元
　　減列 人事費36千元
　　增列 業務費748千元
　　減列 獎補助費180千元
　"
,,,02,"　　　33020570502
　　　經建業務","1,004","1,004",962,-,"一、本科目包括經建業務
　"
,,,,,,,,,"二、本年度預算數包括:
　　人事費4千元
　　業務費1,000千元
　"
,,,03,"　　　33020570503
　　　人文業務","1,476",476,424,"1,000","一、本科目包括人文業務
　"
,,,,,,,,,"二、本年度預算數包括:
　　人事費15千元
　　業務費1,381千元
　　獎補助費80千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　增加 1,000千元
　　增列 業務費1,000千元
　"
,,03,,"　　33020577900
　　第一預備金",400,400,-,-,
,,,01,"　　　33020577901
　　　第一預備金",400,400,-,-,"一、本科目包括第一預備金
　"
,,,,,,,,,"二、本年度預算數包括:
　　預備金400千元
　"
,,04,,"　　33020579000
　　一般建築及設備","24,732","25,321","28,660",-589,
,,,01,"　　　33020579001
　　　一般建築及設
　　　備","24,732","25,321","28,660",-589,"一、本科目包括一般建築及設備
　"
,,,,,,,,,"二、本年度預算數包括:
　　設備及投資24,732千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　減少 589千元
　　減列 設備及投資589千元
　"
,,05,,"　　68020570200
　　社政業務","34,006","30,427","24,936","3,579",
,,,01,"　　　68020570201
　　　社會福利","34,006","30,427","24,936","3,579","一、本科目包括社會福利
　"
,,,,,,,,,"二、本年度預算數包括:
　　人事費6千元
　　業務費1,697千元
　　獎補助費32,303千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　增加 3,579千元
　　增列 業務費449千元
　　增列 獎補助費3,130千元
　"
,018,,,"　00020580000
　臺中市北屯區公所","271,767","262,252","232,959","9,515",
,,01,,"　　33020580100
　　一般行政","89,175","96,137","84,303","-6,962",
,,,01,"　　　33020580101
　　　行政管理","89,175","96,137","84,303","-6,962","一、本科目包括行政管理
　"
,,,,,,,,,"二、本年度預算數包括:
　　人事費68,984千元
　　業務費19,963千元
　　獎補助費228千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　減少 6,962千元
　　減列 人事費10,460千元
　　增列 業務費3,498千元
　"
,,02,,"　　33020580500
　　區公所業務","96,350","99,155","84,784","-2,805",
,,,01,"　　　33020580501
　　　民政業務","94,260","96,127","81,011","-1,867","一、本科目包括民政業務
　"
,,,,,,,,,"二、本年度預算數包括:
　　人事費196千元
　　業務費71,744千元
　　獎補助費22,320千元
　"
　,　,　,　,　,　,　,　,　,　
　,　,　,　,　,　,　,　,　,　
,,,,,,,,,"三、本年度預算數與上年度比較：
　　減少 1,867千元
　　減列 業務費1,891千元
　　增列 獎補助費24千元
　"
,,,02,"　　　33020580502
　　　經建業務","1,529","2,497","3,258",-968,"一、本科目包括經建業務
　"
,,,,,,,,,"二、本年度預算數包括:
　　人事費58千元
　　業務費1,471千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　減少 968千元
　　減列 業務費968千元
　"
,,,03,"　　　33020580503
　　　人文業務",561,531,515,30,"一、本科目包括人文業務
　"
,,,,,,,,,"二、本年度預算數包括:
　　人事費40千元
　　業務費441千元
　　獎補助費80千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　增加 30千元
　　增列 業務費30千元
　"
,,03,,"　　33020587900
　　第一預備金",600,600,-,-,
,,,01,"　　　33020587901
　　　第一預備金",600,600,-,-,"一、本科目包括第一預備金
　"
,,,,,,,,,"二、本年度預算數包括:
　　預備金600千元
　"
,,04,,"　　33020589000
　　一般建築及設備","23,869","7,390","14,487","16,479",
,,,01,"　　　33020589001
　　　一般建築及設
　　　備","23,869","7,390","14,487","16,479","一、本科目包括一般建築及設備
　"
,,,,,,,,,"二、本年度預算數包括:
　　設備及投資23,869千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　增加 16,479千元
　　增列 設備及投資16,479千元
　"
,,05,,"　　68020580200
　　社政業務","61,773","58,970","49,385","2,803",
,,,01,"　　　68020580201
　　　社會福利","61,773","58,970","49,385","2,803","一、本科目包括社會福利
　"
　,　,　,　,　,　,　,　,　,　
　,　,　,　,　,　,　,　,　,　
,,,,,,,,,"二、本年度預算數包括:
　　人事費49千元
　　業務費3,024千元
　　獎補助費58,700千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　增加 2,803千元
　　增列 業務費661千元
　　增列 獎補助費2,142千元
　"
,019,,,"　00020590000
　臺中市豐原區公所","277,447","294,900","276,644","-17,453",
,,01,,"　　33020590100
　　一般行政","115,995","116,224","111,095",-229,
,,,01,"　　　33020590101
　　　行政管理","115,995","116,224","111,095",-229,"一、本科目包括行政管理
　"
,,,,,,,,,"二、本年度預算數包括:
　　人事費96,129千元
　　業務費18,762千元
　　獎補助費1,104千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　減少 229千元
　　減列 業務費229千元
　"
,,02,,"　　33020590500
　　區公所業務","89,614","102,702","84,723","-13,088",
,,,01,"　　　33020590501
　　　民政業務","75,672","82,329","70,307","-6,657","一、本科目包括民政業務
　"
,,,,,,,,,"二、本年度預算數包括:
　　人事費443千元
　　業務費56,029千元
　　獎補助費19,200千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　減少 6,657千元
　　減列 人事費952千元
　　減列 業務費5,705千元
　"
,,,02,"　　　33020590502
　　　經建業務","5,759","5,856","6,113",-97,"一、本科目包括經建業務
　"
,,,,,,,,,"二、本年度預算數包括:
　　人事費21千元
　　業務費5,738千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　減少 97千元
　　減列 業務費97千元
　"
,,,03,"　　　33020590503
　　　人文業務","8,183","14,517","8,303","-6,334","一、本科目包括人文業務
　"
,,,,,,,,,"二、本年度預算數包括:
　　人事費670千元
　　業務費7,433千元
　　獎補助費80千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　減少 6,334千元
　　減列 業務費6,334千元
　"
,,03,,"　　33020597900
　　第一預備金",600,600,-,-,
,,,01,"　　　33020597901
　　　第一預備金",600,600,-,-,"一、本科目包括第一預備金
　"
,,,,,,,,,"二、本年度預算數包括:
　　預備金600千元
　"
,,04,,"　　33020599000
　　一般建築及設備","19,029","29,118","37,353","-10,089",
,,,01,"　　　33020599001
　　　一般建築及設
　　　備","19,029","29,118","37,353","-10,089","一、本科目包括一般建築及設備
　"
,,,,,,,,,"二、本年度預算數包括:
　　設備及投資19,029千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　減少 10,089千元
　　減列 設備及投資10,089千元
　"
,,05,,"　　58020591000
　　農林管理業務","4,368","4,368","3,689",-,
,,,01,"　　　58020591001
　　　農林管理業務","4,368","4,368","3,689",-,"一、本科目包括農林管理業務
　"
,,,,,,,,,"二、本年度預算數包括:
　　人事費53千元
　　業務費4,315千元
　"
,,06,,"　　68020590200
　　社政業務","47,841","41,888","39,784","5,953",
,,,01,"　　　68020590201
　　　社會福利","47,841","41,888","39,784","5,953","一、本科目包括社會福利
　"
,,,,,,,,,"二、本年度預算數包括:
　　人事費80千元
　　業務費3,487千元
　　獎補助費44,274千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　增加 5,953千元
　　增列 業務費449千元
　　增列 獎補助費5,504千元
　"
　,　,　,　,　,　,　,　,　,　
,020,,,"　00020600000
　臺中市大里區公所","241,768","241,351","249,496",417,
,,01,,"　　33020600100
　　一般行政","116,584","115,883","106,116",701,
,,,01,"　　　33020600101
　　　行政管理","116,584","115,883","106,116",701,"一、本科目包括行政管理
　"
,,,,,,,,,"二、本年度預算數包括:
　　人事費92,412千元
　　業務費23,686千元
　　獎補助費486千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　增加 701千元
　　減列 人事費2,514千元
　　增列 業務費3,215千元
　"
,,02,,"　　33020600500
　　區公所業務","66,290","73,509","65,192","-7,219",
,,,01,"　　　33020600501
　　　民政業務","62,131","66,891","58,989","-4,760","一、本科目包括民政業務
　"
,,,,,,,,,"二、本年度預算數包括:
　　人事費245千元
　　業務費43,742千元
　　獎補助費18,144千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　減少 4,760千元
　　減列 業務費1,160千元
　　減列 獎補助費3,600千元
　"
,,,02,"　　　33020600502
　　　經建業務","1,635","3,944","4,827","-2,309","一、本科目包括經建業務
　"
,,,,,,,,,"二、本年度預算數包括:
　　人事費635千元
　　業務費1,000千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　減少 2,309千元
　　增列 人事費1千元
　　減列 業務費2,310千元
　"
,,,03,"　　　33020600503
　　　人文業務","2,524","2,674","1,376",-150,"一、本科目包括人文業務
　"
,,,,,,,,,"二、本年度預算數包括:
　　人事費133千元
　　業務費2,311千元
　　獎補助費80千元
　"
　,　,　,　,　,　,　,　,　,　
　,　,　,　,　,　,　,　,　,　
　,　,　,　,　,　,　,　,　,　
,,,,,,,,,"三、本年度預算數與上年度比較：
　　減少 150千元
　　減列 業務費150千元
　"
,,03,,"　　33020607900
　　第一預備金",600,600,-,-,
,,,01,"　　　33020607901
　　　第一預備金",600,600,-,-,"一、本科目包括第一預備金
　"
,,,,,,,,,"二、本年度預算數包括:
　　預備金600千元
　"
,,04,,"　　33020609000
　　一般建築及設備","10,297","13,194","41,363","-2,897",
,,,01,"　　　33020609001
　　　一般建築及設
　　　備","10,297","13,194","41,363","-2,897","一、本科目包括一般建築及設備
　"
,,,,,,,,,"二、本年度預算數包括:
　　設備及投資10,297千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　減少 2,897千元
　　減列 設備及投資2,897千元
　"
,,05,,"　　58020601000
　　農林管理業務","1,697","1,696","1,385",1,
,,,01,"　　　58020601001
　　　農林管理業務","1,697","1,696","1,385",1,"一、本科目包括農林管理業務
　"
,,,,,,,,,"二、本年度預算數包括:
　　人事費629千元
　　業務費1,068千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　增加 1千元
　　增列 人事費1千元
　"
,,06,,"　　68020600200
　　社政業務","46,300","36,469","35,440","9,831",
,,,01,"　　　68020600201
　　　社會福利","46,300","36,469","35,440","9,831","一、本科目包括社會福利
　"
,,,,,,,,,"二、本年度預算數包括:
　　人事費681千元
　　業務費4,487千元
　　獎補助費41,132千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　增加 9,831千元
　　增列 人事費449千元
　　增列 業務費60千元
　　增列 獎補助費9,322千元
　"
　,　,　,　,　,　,　,　,　,　
,021,,,"　00020610000
　臺中市太平區公所","252,588","282,947","232,861","-30,359",
,,01,,"　　33020610100
　　一般行政","122,217","125,143","116,433","-2,926",
,,,01,"　　　33020610101
　　　行政管理","122,217","125,143","116,433","-2,926","一、本科目包括行政管理
　"
,,,,,,,,,"二、本年度預算數包括:
　　人事費94,015千元
　　業務費27,788千元
　　獎補助費414千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　減少 2,926千元
　　減列 業務費2,926千元
　"
,,02,,"　　33020610500
　　區公所業務","71,840","71,205","62,420",635,
,,,01,"　　　33020610501
　　　民政業務","70,121","69,484","60,834",637,"一、本科目包括民政業務
　"
,,,,,,,,,"二、本年度預算數包括:
　　人事費162千元
　　業務費52,991千元
　　獎補助費16,968千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　增加 637千元
　　減列 人事費921千元
　　增列 業務費1,558千元
　"
,,,02,"　　　33020610502
　　　經建業務",232,234,171,-2,"一、本科目包括經建業務
　"
,,,,,,,,,"二、本年度預算數包括:
　　人事費30千元
　　業務費202千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　減少 2千元
　　減列 業務費2千元
　"
,,,03,"　　　33020610503
　　　人文業務","1,487","1,487","1,415",-,"一、本科目包括人文業務
　"
,,,,,,,,,"二、本年度預算數包括:
　　人事費38千元
　　業務費1,369千元
　　獎補助費80千元
　"
,,03,,"　　33020617900
　　第一預備金",600,600,-,-,
,,,01,"　　　33020617901
　　　第一預備金",600,600,-,-,"一、本科目包括第一預備金
　"
　,　,　,　,　,　,　,　,　,　
,,,,,,,,,"二、本年度預算數包括:
　　預備金600千元
　"
,,04,,"　　33020619000
　　一般建築及設備","9,583","41,841","14,807","-32,258",
,,,01,"　　　33020619001
　　　一般建築及設
　　　備","9,583","41,841","14,807","-32,258","一、本科目包括一般建築及設備
　"
,,,,,,,,,"二、本年度預算數包括:
　　設備及投資9,583千元
　"
,,,,,,,,,"三、本年度預算數與上年度比較：
　　減少 32,258千元
　　減列 設備及投資32,258千元
　"
,,05,,"　　58020611000
　　農林管理業務","2,410","2,410","2,341",-,
,,,01,"　　　58020611001
　　　農林管理業務","2,410","2,410","2,341",-,"一、本科目包括農林管理業務
　"
,,,,,,,,,"二、本年度預算數包括:
　　人事費90千元
　　業務費2,320千元
　"
,,06,,"　　68020610200
　　社政業務","45,938","41,748","36,860","4,190",
